FROM,TO,VALUE
4524,4524,1106
4526,4526,271
4527,4527,406
4528,4528,510
4537,4537,3196
4538,4538,914
4551,4551,203
4553,4553,1062
4554,4554,1741
4556,4556,664
4558,4558,445
4559,4559,2992
4561,4561,3243
4570,4570,1299
4571,4571,456
4574,4574,62
4576,4576,479
4579,4579,564
4585,4585,746
4586,4586,4069
4590,4590,2351
4592,4592,4440
4595,4595,2721
4596,4596,1563
4599,4599,3723
4602,4602,673
4609,4609,564
4610,4610,4604
4614,4614,1805
4629,4629,4235
4634,4634,41
4638,4638,445
4640,4640,3240
4643,4643,2280
4655,4655,1020
4660,4660,3719
4661,4661,2513
4663,4663,1538
4665,4665,1884
4669,4669,1989
4670,4670,4639
4677,4677,4678
4680,4680,1289
4682,4682,158
4683,4683,2267
4684,4684,2336
4692,4692,4672
4696,4696,130
4698,4698,2643
4700,4700,394
4702,4702,317
4705,4705,4451
4707,4707,2069
4729,4729,4691
4730,4730,48
4731,4731,3644
4733,4733,4732
4735,4735,3766
4741,4741,227
4744,4744,1540
4748,4748,4565
4752,4752,3170
4756,4756,4745
4758,4758,4737
4763,4763,1187
4765,4765,4757
4771,4771,522
4773,4773,2537
4774,4774,4769
4775,4775,3696
4776,4776,21
4787,4787,4736
4792,4792,4793
4794,4794,2536
4796,4796,3748
4797,4797,4514
4802,4802,2215
4803,4803,1253
4808,4808,4807
4819,4819,1828
4822,4822,1384
4824,4824,1828
4826,4826,2128
4831,4831,4943
4834,4834,4829
4835,4835,4549
4836,4836,245
4846,4846,840
4847,4847,926
4848,4848,631
4852,4852,648
4853,4853,62
4854,4854,147
4857,4857,1378
4862,4862,1032
4865,4865,3825
4866,4866,2165
4868,4868,4468
4870,4870,808
4886,4886,3888
4892,4892,4162
4899,4899,213
4905,4905,703
4908,4908,4909
4914,4914,161
4915,4915,3379
4920,4920,2276
4923,4923,2619
4924,4924,3723
4926,4926,2319
4927,4927,1099
4928,4928,14
4930,4930,658
4931,4931,1740
4934,4934,362
4937,4937,1681
4940,4940,30
4947,4947,165
4952,4952,152
4954,4954,393
4957,4957,28
4960,4960,4959
4964,4964,4147
4968,4968,856
4969,4969,4626
4980,4980,3731
4983,4983,719
4988,4988,2540
4989,4989,4981
4992,4992,2593
4993,4993,3224
4995,4995,2622
4996,4996,5025
4998,4998,403
5001,5001,4008
5003,5003,4991
5005,5005,5004
5007,5007,860
5008,5008,4990
5010,5010,5004
5017,5017,2972
5018,5018,3043
5020,5020,1395
5023,5023,1312
5027,5027,4034
5041,5041,4676
5042,5042,2436
5046,5046,206
5048,5048,1860
5054,5054,213
5058,5058,3785
5060,5060,5047
5072,5072,1244
5074,5074,1
5088,5088,687
5091,5091,2888
5098,5098,3658
5101,5101,53
5102,5102,2548
5106,5106,3142
5107,5107,763
5110,5110,149
5123,5123,776
5124,5124,2170
5126,5126,343
5128,5128,483
5132,5132,4584
5133,5133,2993
5136,5136,1762
5138,5138,599
5144,5144,251
5147,5147,1430
5148,5148,219
