FROM,TO,VALUE
1,1,511
2,2,468
3,3,311
4,4,591
5,5,721
6,6,630
7,7,691
8,8,692
9,9,535
10,10,610
11,11,644
12,12,622
13,13,482
14,14,775
15,15,338
16,16,377
17,17,693
18,18,694
19,19,722
20,20,355
21,21,340
22,22,399
23,23,459
24,24,571
25,25,723
26,26,427
27,27,592
28,28,547
29,29,321
30,30,645
31,31,631
32,32,360
33,33,512
34,34,776
35,35,462
36,36,777
37,37,640
38,38,724
39,39,611
40,40,778
41,41,580
42,42,371
43,43,779
44,44,337
45,45,444
46,46,396
47,47,354
48,48,348
49,49,695
50,50,641
51,51,504
52,52,623
53,53,407
54,54,331
55,55,612
56,56,428
57,57,375
58,58,460
59,59,498
60,60,725
61,61,490
62,62,780
63,63,553
64,64,554
65,65,332
66,66,593
67,67,781
68,68,339
69,69,326
70,70,696
71,71,782
72,72,646
73,73,372
74,74,345
75,75,526
76,76,647
77,77,496
78,78,726
79,79,663
80,80,435
81,81,514
82,82,697
83,83,632
84,84,613
85,85,543
86,86,664
87,87,783
88,88,665
89,89,523
90,90,494
91,91,440
92,92,408
93,93,320
94,94,445
95,95,698
96,96,333
97,97,624
98,98,572
99,99,727
100,100,409
101,101,573
102,102,323
103,103,699
104,104,700
105,105,728
106,106,484
107,107,475
108,108,342
109,109,524
110,110,397
111,111,324
112,112,343
113,113,335
114,114,666
115,115,667
116,116,328
117,117,729
118,118,784
119,119,584
120,120,585
121,121,785
122,122,730
123,123,555
124,124,426
125,125,305
126,126,668
127,127,786
128,128,539
129,129,648
130,130,649
131,131,302
132,132,351
133,133,309
134,134,476
135,135,787
136,136,533
137,137,393
138,138,350
139,139,788
140,140,669
141,141,497
142,142,670
143,143,347
144,144,633
145,145,603
146,146,390
147,147,536
148,148,402
149,149,551
150,150,586
151,151,319
152,152,314
153,153,325
154,154,472
155,155,789
156,156,731
157,157,301
158,158,517
159,159,362
160,160,388
161,161,441
162,162,500
163,163,330
164,164,732
165,165,485
166,166,310
167,167,317
168,168,344
169,169,495
170,170,429
171,171,790
172,172,733
173,173,451
174,174,378
175,175,650
176,176,471
177,177,336
178,178,423
179,179,530
180,180,560
181,181,368
182,182,353
183,183,318
184,184,545
185,185,574
186,186,313
187,187,463
188,188,625
189,189,701
190,190,671
191,191,383
192,192,702
193,193,304
194,194,587
195,195,581
196,196,492
197,197,474
198,198,614
199,199,341
200,200,562
201,201,414
202,202,604
203,203,465
204,204,734
205,205,381
206,206,735
207,207,791
208,208,446
209,209,387
210,210,672
211,211,605
212,212,455
213,213,703
214,214,365
215,215,651
216,216,349
217,217,736
218,218,575
219,219,582
220,220,673
221,221,425
222,222,594
223,223,327
224,224,456
225,225,370
226,226,334
227,227,469
228,228,652
229,229,457
230,230,403
231,231,315
232,232,540
233,233,520
234,234,704
235,235,792
236,236,737
237,237,356
238,238,308
239,239,413
240,240,416
241,241,306
242,242,357
243,243,674
244,244,507
245,245,556
246,246,675
247,247,738
248,248,705
249,249,312
250,250,439
251,251,376
252,252,329
253,253,513
254,254,491
255,255,421
256,256,642
257,257,557
258,258,398
259,259,412
260,260,515
261,261,366
262,262,359
263,263,546
264,264,477
265,265,480
266,266,364
267,267,346
268,268,595
269,269,793
270,270,449
271,271,615
272,272,616
273,273,739
274,274,374
275,275,363
276,276,406
277,277,420
278,278,303
279,279,422
280,280,563
281,281,653
282,282,740
283,283,617
284,284,508
285,285,447
286,286,741
287,287,424
288,288,529
289,289,307
290,290,404
291,291,373
292,292,316
293,293,380
294,294,419
295,295,706
296,296,479
297,297,596
298,298,405
299,299,588
300,300,433
301,301,501
302,302,558
303,303,566
304,304,352
305,305,597
306,306,391
307,307,382
308,308,544
309,309,452
310,310,411
311,311,410
312,312,434
313,313,742
314,314,564
315,315,626
316,316,794
317,317,481
318,318,418
319,319,322
320,320,432
321,321,707
322,322,430
323,323,743
324,324,417
325,325,744
326,326,795
327,327,502
328,328,361
329,329,486
330,330,708
331,331,745
332,332,443
333,333,746
334,334,436
335,335,567
336,336,747
337,337,505
338,338,461
339,339,464
340,340,561
341,341,400
343,343,506
344,344,367
345,345,516
346,346,453
347,347,748
348,348,358
349,349,568
350,350,598
