391,rsi,oti,rsi,rsi,tr,rsi,rsi, 242
392,tr,rsi,tr,rsi,rsi,rsi,tr, 235
393,SD,SD,tr,rsi,rsi,rsi,rsi, 230
394,rsi,rsi,tr,rsi,rsi,rsi,oti, 229
395,SD,SD,SD,SD,rsi,rsi,tr, 225
396,rsi,tr,rsi,tr,rsi,tr,rsi, 223
397,SD,rsi,rsi,rsi,tr,rsi,tr, 220
398,rsi,tr,rsi,tr,rsi,rsi,rsi, 219
399,tr,rsi,oti,rsi,rsi,rsi,rsi, 218
400,tr,rsi,tr,rsi,rsi,tr,oti, 216
401,tr,rsi,rsi,rsi,oti,rsi,rsi, 215
402,SD,SD,SD,tr,rsi,tr,rsi, 214
403,oti,rsi,oti,rsi,rsi,rsi,rsi, 211
404,tr,sc,rsi,tr,rsi,tr,rsi, 207
405,rsi,sc,rsi,rsi,rsi,rsi,tr, 206
406,rsi,rsi,tr,tr,rsi,oti,rsi, 206
407,SD,SD,SD,SD,tr,tr,rsi, 205
408,rsi,tr,tr,rsi,rsi,tr,rsi, 204
409,oti,rsi,rsi,rsi,rsi,rsi,oti, 199
410,SD,rsi,rsi,tr,rsi,rsi,oti, 198
411,tr,rsi,tr,rsi,oti,rsi,rsi, 196
412,tr,rsi,tr,tr,rsi,rsi,tr, 193
413,SD,rsi,rsi,rsi,tr,tr,rsi, 191
414,SD,sc,rsi,rsi,rsi,rsi,rsi, 190
415,rsi,tr,rsi,tr,rsi,rsi,tr, 189
416,SD,rsi,rsi,tr,rsi,oti,rsi, 185
417,rsi,rsi,tr,tr,rsi,rsi,tr, 184
418,SD,SD,SD,SD,tr,rsi,tr, 179
419,SD,SD,rsi,rsi,rsi,tr,rsi, 177
420,rsi,rsi,oti,rsi,oti,rsi,rsi, 177
421,rsi,tr,tr,rsi,rsi,rsi,rsi, 176
422,SD,rsi,rsi,rsi,tr,rsi,oti, 173
423,tr,rsi,tr,tr,rsi,rsi,rsi, 172
424,oti,rsi,oti,rsi,rsi,oti,rsi, 172
425,rsi,rsi,rsi,oti,rsi,rsi,tr, 164
426,rsi,rsi,oti,rsi,tr,rsi,rsi, 164
427,tr,rsi,rsi,rsi,tr,rsi,oti, 164
428,oti,rsi,rsi,oti,rsi,rsi,rsi, 163
429,rsi,rsi,oti,rsi,rsi,oti,rsi, 162
430,rsi,oti,rsi,oti,rsi,rsi,rsi, 161
431,tr,rsi,tr,tr,rsi,tr,rsi, 160
432,rsi,rsi,tr,rsi,tr,tr,rsi, 159
433,rsi,sc,tr,rsi,rsi,rsi,rsi, 158
434,rsi,rsi,rsi,rsi,SD,SD,rsi, 157
435,tr,sc,rsi,rsi,rsi,rsi,rsi, 157
436,oti,rsi,rsi,rsi,tr,rsi,rsi, 151
437,rsi,SD,SD,SD,SD,rsi,rsi, 149
438,rsi,rsi,rsi,SD,tr,rsi,rsi, 149
439,tr,rsi,rsi,rsi,tr,oti,rsi, 149
440,rsi,rsi,rsi,oti,rsi,tr,tr, 145
441,oti,oti,oti,rsi,rsi,rsi,rsi, 145
442,rsi,rsi,rsi,rsi,rsi,oti,oti, 144
443,SD,rsi,rsi,SD,rsi,rsi,rsi, 144
444,rsi,rsi,rsi,oti,tr,rsi,tr, 142
445,rsi,oti,oti,rsi,rsi,oti,rsi, 141
446,rsi,rsi,rsi,rsi,SD,rsi,rsi, 140
447,rsi,rsi,rsi,rsi,tr,tr,tr, 140
448,oti,sc,rsi,rsi,rsi,rsi,tr, 139
449,SD,sc,rsi,rsi,rsi,tr,rsi, 137
450,tr,rsi,rsi,rsi,tr,tr,oti, 137
451,oti,rsi,oti,oti,rsi,oti,oti, 135
452,rsi,rsi,SD,SD,rsi,rsi,rsi, 134
453,rsi,rsi,rsi,rsi,rsi,SD,rsi, 134
454,oti,sc,rsi,oti,rsi,rsi,tr, 133
455,rsi,sc,rsi,rsi,rsi,rsi,oti, 133
456,tr,rsi,rsi,tr,tr,tr,tr, 131
457,oti,rsi,rsi,rsi,rsi,rsi,tr, 130
458,rsi,rsi,rsi,rsi,oti,rsi,tr, 126
459,rsi,rsi,rsi,rsi,rsi,oti,tr, 126
460,rsi,rsi,tr,rsi,oti,rsi,rsi, 126
461,oti,rsi,rsi,tr,rsi,rsi,tr, 125
462,rsi,SD,SD,SD,SD,tr,rsi, 125
463,tr,oti,rsi,oti,rsi,oti,rsi, 123
464,rsi,rsi,SD,SD,tr,rsi,rsi, 123
465,SD,SD,rsi,rsi,tr,rsi,rsi, 122
466,rsi,oti,rsi,tr,rsi,rsi,tr, 122
467,tr,sc,rsi,rsi,rsi,rsi,oti, 121
468,rsi,tr,rsi,rsi,rsi,oti,rsi, 119
469,rsi,rsi,rsi,SD,SD,SD,rsi, 119
470,tr,rsi,tr,rsi,rsi,rsi,oti, 118
471,tr,tr,tr,rsi,rsi,tr,rsi, 118
472,rsi,SD,SD,SD,rsi,rsi,rsi, 116
473,SD,tr,rsi,rsi,rsi,rsi,rsi, 116
474,SD,rsi,rsi,SD,SD,rsi,rsi, 115
475,rsi,SD,SD,SD,SD,SD,rsi, 113
476,rsi,sc,rsi,rsi,rsi,tr,tr, 112
477,SD,rsi,tr,tr,rsi,tr,rsi, 112
478,oti,oti,oti,rsi,tr,rsi,rsi, 109
479,rsi,rsi,SD,tr,rsi,rsi,rsi, 109
480,oti,sc,rsi,rsi,rsi,rsi,rsi, 107
481,tr,rsi,rsi,SD,SD,tr,rsi, 106
482,tr,tr,rsi,rsi,rsi,rsi,tr, 105
483,oti,rsi,rsi,oti,tr,rsi,rsi, 105
484,SD,SD,SD,oti,rsi,rsi,oti, 104
485,tr,sc,tr,rsi,rsi,rsi,tr, 103
486,rsi,tr,oti,rsi,tr,rsi,rsi, 103
487,rsi,oti,rsi,oti,rsi,oti,oti, 102
488,tr,rsi,rsi,sc,rsi,tr,rsi, 100
489,oti,oti,rsi,rsi,tr,rsi,rsi, 98
490,SD,rsi,tr,rsi,tr,rsi,rsi, 97
491,SD,SD,SD,rsi,rsi,rsi,oti, 97
492,oti,rsi,oti,oti,rsi,rsi,oti, 95
493,rsi,rsi,SD,SD,SD,rsi,rsi, 95
494,tr,SD,SD,SD,tr,rsi,rsi, 95
495,rsi,sc,rsi,rsi,rsi,oti,oti, 95
496,rsi,rsi,oti,rsi,rsi,oti,oti, 94
497,rsi,rsi,rsi,oti,tr,rsi,rsi, 94
498,rsi,sc,rsi,rsi,tr,tr,rsi, 93
499,oti,rsi,oti,oti,tr,rsi,rsi, 93
500,tr,rsi,oti,rsi,rsi,rsi,tr, 93
501,tr,tr,rsi,tr,tr,tr,rsi, 93
502,tr,sc,rsi,rsi,rsi,tr,rsi, 91
503,SD,sc,rsi,rsi,rsi,rsi,tr, 91
504,tr,rsi,tr,rsi,tr,tr,rsi, 90
505,oti,rsi,rsi,rsi,rsi,tr,rsi, 89
506,rsi,sc,rsi,tr,tr,rsi,rsi, 88
507,oti,oti,oti,rsi,rsi,rsi,oti, 87
508,tr,sc,rsi,rsi,rsi,rsi,tr, 86
509,SD,SD,SD,SD,rsi,oti,rsi, 85
510,tr,rsi,rsi,rsi,oti,tr,rsi, 84
511,SD,rsi,SD,tr,rsi,rsi,rsi, 82
512,tr,rsi,tr,tr,tr,tr,rsi, 82
513,rsi,rsi,tr,rsi,oti,tr,tr, 82
514,rsi,sc,oti,tr,rsi,rsi,rsi, 81
515,oti,sc,oti,rsi,rsi,rsi,rsi, 81
516,rsi,rsi,oti,rsi,oti,rsi,oti, 80
517,SD,SD,SD,SD,SD,tr,oti, 80
518,rsi,rsi,rsi,SD,rsi,tr,rsi, 80
519,rsi,rsi,rsi,rsi,oti,rsi,oti, 77
520,SD,SD,SD,tr,tr,rsi,rsi, 77
521,oti,rsi,rsi,oti,rsi,rsi,oti, 75
522,SD,sc,rsi,rsi,tr,rsi,rsi, 74
523,SD,sc,rsi,rsi,tr,rsi,oti, 73
524,rsi,SD,SD,sc,rsi,rsi,rsi, 73
525,oti,oti,rsi,oti,rsi,oti,rsi, 72
526,tr,SD,SD,SD,SD,rsi,rsi, 72
527,rsi,tr,oti,rsi,oti,rsi,oti, 72
528,SD,SD,SD,sc,rsi,rsi,rsi, 72
529,oti,sc,tr,tr,tr,tr,tr, 72
530,SD,rsi,oti,rsi,tr,rsi,rsi, 72
531,rsi,tr,rsi,rsi,rsi,rsi,oti, 71
532,SD,SD,SD,SD,SD,tr,tr, 71
533,rsi,oti,rsi,oti,tr,rsi,rsi, 71
534,rsi,SD,rsi,tr,rsi,rsi,rsi, 70
535,SD,rsi,rsi,tr,tr,tr,tr, 70
536,rsi,tr,rsi,oti,tr,rsi,tr, 70
537,SD,oti,rsi,rsi,rsi,rsi,rsi, 69
538,rsi,rsi,SD,rsi,rsi,rsi,rsi, 69
539,rsi,rsi,oti,rsi,tr,rsi,oti, 68
540,rsi,tr,rsi,oti,rsi,rsi,rsi, 68
541,rsi,tr,rsi,tr,rsi,tr,tr, 67
542,SD,SD,SD,rsi,rsi,oti,oti, 67
543,rsi,oti,oti,oti,rsi,rsi,rsi, 67
544,SD,SD,SD,SD,tr,rsi,oti, 66
545,rsi,sc,oti,rsi,rsi,tr,rsi, 66
546,tr,sc,oti,rsi,rsi,tr,rsi, 66
547,rsi,SD,SD,SD,SD,rsi,oti, 66
548,tr,sc,rsi,rsi,tr,tr,rsi, 65
549,SD,rsi,rsi,tr,tr,rsi,tr, 65
550,SD,oti,rsi,sc,rsi,rsi,oti, 64
551,tr,SD,SD,SD,rsi,rsi,rsi, 64
552,SD,rsi,rsi,rsi,oti,oti,tr, 63
553,SD,rsi,rsi,SD,SD,tr,rsi, 63
554,rsi,rsi,oti,oti,rsi,rsi,oti, 62
555,oti,sc,rsi,tr,tr,tr,tr, 62
556,rsi,sc,rsi,rsi,tr,rsi,oti, 62
557,SD,rsi,SD,tr,rsi,tr,rsi, 62
558,rsi,oti,rsi,rsi,rsi,tr,tr, 61
559,rsi,rsi,rsi,oti,rsi,rsi,oti, 61
560,SD,rsi,rsi,rsi,oti,oti,rsi, 60
561,SD,rsi,rsi,rsi,tr,tr,tr, 60
562,oti,rsi,rsi,rsi,tr,tr,rsi, 60
563,oti,rsi,rsi,rsi,rsi,oti,rsi, 60
564,oti,rsi,rsi,oti,rsi,oti,rsi, 59
565,SD,SD,SD,SD,rsi,tr,tr, 59
566,rsi,SD,SD,SD,tr,rsi,rsi, 59
567,SD,SD,SD,SD,oti,rsi,rsi, 59
568,SD,oti,rsi,oti,rsi,rsi,rsi, 59
569,oti,rsi,rsi,rsi,rsi,tr,tr, 59
570,rsi,tr,oti,rsi,oti,rsi,tr, 59
571,rsi,rsi,oti,rsi,rsi,tr,oti, 58
572,SD,rsi,SD,SD,rsi,rsi,rsi, 58
573,rsi,SD,SD,SD,SD,rsi,tr, 58
574,SD,oti,rsi,oti,rsi,tr,tr, 58
575,oti,rsi,rsi,rsi,rsi,tr,oti, 57
576,rsi,sc,rsi,tr,rsi,tr,rsi, 57
577,tr,SD,SD,SD,SD,rsi,tr, 57
578,SD,rsi,rsi,rsi,SD,SD,rsi, 57
579,oti,rsi,rsi,tr,rsi,rsi,rsi, 57
580,oti,rsi,rsi,tr,tr,tr,rsi, 56
581,rsi,rsi,rsi,oti,oti,rsi,oti, 56
582,tr,rsi,oti,rsi,oti,rsi,oti, 56
583,tr,SD,SD,SD,SD,SD,rsi, 55
584,SD,SD,SD,rsi,rsi,tr,tr, 55
585,rsi,sc,rsi,oti,tr,rsi,tr, 55
586,SD,sc,rsi,rsi,rsi,oti,rsi, 54
587,SD,rsi,rsi,rsi,oti,rsi,oti, 53
588,SD,rsi,rsi,sc,rsi,tr,rsi, 53
589,tr,sc,rsi,tr,rsi,rsi,rsi, 53
590,tr,sc,rsi,tr,rsi,rsi,tr, 53
591,SD,rsi,rsi,oti,rsi,rsi,oti, 53
592,oti,oti,oti,rsi,oti,rsi,tr, 52
593,rsi,rsi,rsi,rsi,oti,oti,oti, 51
594,oti,sc,rsi,oti,rsi,oti,oti, 51
595,oti,sc,rsi,rsi,tr,rsi,rsi, 51
596,SD,SD,rsi,rsi,SD,rsi,rsi, 51
597,rsi,rsi,SD,sc,tr,rsi,tr, 50
598,SD,rsi,rsi,sc,rsi,rsi,tr, 50
599,rsi,oti,rsi,oti,rsi,tr,oti, 50
600,rsi,rsi,tr,oti,rsi,oti,tr, 49
601,rsi,SD,SD,SD,SD,tr,tr, 48
602,tr,sc,rsi,sc,rsi,oti,rsi, 48
603,rsi,SD,SD,sc,tr,rsi,rsi, 48
604,tr,SD,SD,rsi,rsi,rsi,rsi, 48
605,rsi,rsi,oti,rsi,rsi,oti,tr, 48
606,rsi,rsi,tr,tr,oti,tr,rsi, 47
607,tr,sc,rsi,oti,rsi,rsi,rsi, 47
608,oti,oti,rsi,rsi,rsi,rsi,tr, 47
609,SD,rsi,rsi,rsi,rsi,SD,rsi, 46
610,SD,SD,SD,SD,SD,SD,tr, 46
611,rsi,rsi,rsi,oti,oti,rsi,tr, 46
612,SD,SD,oti,rsi,rsi,rsi,rsi, 45
613,rsi,rsi,rsi,rsi,SD,SD,tr, 45
614,tr,oti,rsi,tr,rsi,tr,rsi, 45
615,SD,SD,tr,rsi,rsi,tr,rsi, 45
616,tr,sc,tr,rsi,rsi,tr,rsi, 45
617,oti,sc,tr,rsi,rsi,oti,oti, 44
618,tr,rsi,rsi,rsi,oti,oti,tr, 44
619,rsi,rsi,tr,rsi,rsi,oti,rsi, 44
620,rsi,rsi,rsi,sc,rsi,rsi,oti, 44
621,SD,tr,rsi,rsi,rsi,oti,rsi, 44
622,rsi,rsi,tr,tr,rsi,tr,oti, 43
623,tr,rsi,oti,tr,rsi,rsi,oti, 43
624,tr,tr,tr,rsi,oti,tr,rsi, 43
625,oti,sc,rsi,rsi,tr,tr,rsi, 43
626,tr,tr,rsi,SD,SD,tr,rsi, 43
627,SD,oti,rsi,sc,rsi,rsi,rsi, 42
628,SD,rsi,tr,rsi,rsi,tr,tr, 42
629,SD,rsi,rsi,rsi,SD,rsi,rsi, 42
630,rsi,SD,SD,SD,SD,SD,tr, 42
631,rsi,rsi,rsi,SD,SD,rsi,tr, 42
632,SD,rsi,rsi,tr,tr,tr,rsi, 41
633,tr,sc,rsi,rsi,oti,tr,rsi, 41
634,SD,oti,rsi,sc,rsi,rsi,tr, 41
635,SD,oti,rsi,rsi,rsi,rsi,tr, 41
636,tr,rsi,oti,rsi,rsi,tr,rsi, 41
637,rsi,rsi,rsi,sc,tr,rsi,tr, 41
638,oti,sc,rsi,rsi,oti,rsi,rsi, 41
639,SD,rsi,rsi,SD,rsi,tr,rsi, 41
640,tr,sc,tr,tr,rsi,rsi,tr, 41
641,SD,SD,SD,sc,tr,tr,rsi, 40
642,rsi,sc,rsi,oti,rsi,tr,rsi, 40
643,rsi,sc,rsi,rsi,rsi,oti,rsi, 40
644,SD,rsi,tr,rsi,tr,rsi,tr, 40
645,SD,SD,SD,oti,rsi,tr,tr, 40
646,rsi,sc,rsi,rsi,oti,rsi,oti, 40
647,tr,tr,tr,tr,rsi,rsi,tr, 40
648,oti,rsi,tr,rsi,rsi,rsi,oti, 39
649,oti,rsi,rsi,rsi,oti,rsi,oti, 39
650,rsi,rsi,rsi,sc,rsi,tr,rsi, 39
651,rsi,rsi,rsi,SD,rsi,SD,rsi, 39
652,rsi,tr,rsi,oti,oti,rsi,rsi, 39
653,oti,oti,rsi,rsi,rsi,rsi,rsi, 39
654,oti,sc,oti,rsi,oti,rsi,rsi, 39
655,SD,rsi,rsi,tr,tr,rsi,rsi, 39
656,tr,rsi,rsi,SD,SD,rsi,rsi, 39
657,SD,SD,SD,SD,SD,SD,oti, 39
658,oti,rsi,oti,rsi,oti,rsi,rsi, 38
659,SD,SD,rsi,oti,tr,rsi,rsi, 38
660,SD,sc,oti,tr,rsi,rsi,oti, 38
661,SD,sc,rsi,oti,rsi,rsi,oti, 38
662,tr,rsi,tr,tr,tr,tr,oti, 38
663,rsi,rsi,oti,tr,rsi,tr,rsi, 38
664,rsi,sc,rsi,oti,rsi,rsi,rsi, 38
665,SD,rsi,rsi,oti,rsi,tr,oti, 38
666,oti,oti,oti,sc,tr,tr,rsi, 38
667,SD,rsi,rsi,SD,SD,SD,rsi, 37
668,oti,rsi,rsi,tr,rsi,oti,tr, 37
669,SD,SD,SD,tr,rsi,tr,tr, 37
670,tr,sc,rsi,rsi,rsi,tr,tr, 36
671,SD,rsi,rsi,rsi,SD,rsi,tr, 36
672,SD,rsi,rsi,SD,SD,tr,oti, 36
673,SD,rsi,rsi,oti,tr,rsi,oti, 36
674,rsi,rsi,rsi,oti,SD,SD,rsi, 35
675,tr,sc,rsi,SD,SD,tr,rsi, 35
676,tr,sc,rsi,tr,rsi,tr,oti, 35
677,rsi,SD,SD,sc,tr,rsi,tr, 35
678,tr,rsi,rsi,rsi,SD,SD,rsi, 34
679,SD,SD,SD,SD,SD,oti,rsi, 34
680,SD,rsi,rsi,rsi,rsi,tr,oti, 34
681,SD,rsi,tr,rsi,oti,tr,oti, 34
682,SD,rsi,rsi,rsi,SD,SD,tr, 34
683,oti,rsi,tr,rsi,rsi,rsi,rsi, 34
684,SD,SD,rsi,SD,rsi,rsi,rsi, 33
685,tr,rsi,SD,SD,SD,tr,tr, 33
686,tr,tr,rsi,oti,oti,rsi,oti, 33
687,oti,oti,rsi,oti,oti,rsi,oti, 33
688,SD,SD,SD,SD,rsi,SD,rsi, 33
689,oti,sc,rsi,rsi,oti,rsi,oti, 33
690,SD,SD,SD,SD,tr,tr,tr, 32
691,rsi,rsi,rsi,SD,SD,tr,rsi, 32
692,rsi,oti,oti,sc,tr,rsi,tr, 32
693,SD,SD,SD,oti,rsi,tr,oti, 32
694,rsi,oti,oti,rsi,rsi,rsi,tr, 32
695,oti,rsi,rsi,SD,tr,rsi,rsi, 31
