301, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0
555, 1.0, 1.0, 3.0, 1.0, 2.0, 1.0, 1.0, 3.0
302, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0
678, 299.0, 1.0, 2.0, 1.0, 2.0, 6.0, 1.0, 1.0
303, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
304, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0
305, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0
306, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0
307, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0
308, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0
448, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 2.0
545, 299.0, 1.0, 3.0, 5.0, 5.0, 1.0, 1.0, 2.0
535, 1.0, 1.0, 7.0, 299.0, 1.0, 5.0, 3.0, 3.0
523, 1.0, 2.0, 1.0, 7.0, 1.0, 1.0, 1.0, 1.0
905, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0
309, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0
352, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0
310, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0
311, 299.0, 299.0, 299.0, 299.0, 299.0, 299.0, 299.0, 1.0
359, 299.0, 299.0, 299.0, 299.0, 1.0, 1.0, 1.0, 2.0
532, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0
645, 299.0, 299.0, 1.0, 299.0, 1.0, 1.0, 7.0, 1.0
522, 299.0, 1.0, 1.0, 2.0, 3.0, 1.0, 1.0, 1.0
1208, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0
597, 2.0, 1.0, 2.0, 1.0, 2.0, 6.0, 1.0, 2.0
1209, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0
312, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0
653, 1.0, 1.0, 5.0, 5.0, 1.0, 1.0, 2.0, 1.0
313, 299.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0
629, 299.0, 7.0, 1.0, 7.0, 1.0, 3.0, 3.0, 7.0
314, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0
315, 299.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0
316, 1.0, 1.0, 1.0, 7.0, 1.0, 1.0, 1.0, 2.0
317, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0
318, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0
403, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0
1472, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0
636, 1.0, 1.0, 3.0, 2.0, 3.0, 2.0, 3.0, 1.0
342, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0
319, 299.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0
1109, 299.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0
320, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0
321, 299.0, 299.0, 299.0, 299.0, 299.0, 299.0, 299.0, 2.0
322, 1.0, 1.0, 7.0, 1.0, 1.0, 1.0, 2.0, 1.0
323, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0
324, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0
325, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
848, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 299.0, 2.0
747, 1.0, 1.0, 2.0, 299.0, 299.0, 299.0, 299.0, 6.0
326, 1.0, 7.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0
743, 2.0, 1.0, 1.0, 5.0, 5.0, 1.0, 1.0, 2.0
327, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0
811, 299.0, 299.0, 2.0, 7.0, 3.0, 3.0, 5.0, 7.0
462, 299.0, 299.0, 299.0, 299.0, 299.0, 3.0, 3.0, 3.0
328, 299.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0
831, 1.0, 5.0, 2.0, 5.0, 1.0, 1.0, 1.0, 1.0
329, 1.0, 1.0, 7.0, 1.0, 1.0, 2.0, 1.0, 1.0
847, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0
330, 1.0, 1.0, 7.0, 1.0, 1.0, 1.0, 1.0, 2.0
331, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0
677, 299.0, 1.0, 1.0, 1.0, 3.0, 1.0, 2.0, 2.0
332, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0
3876, 1.0, 7.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0
1691, 299.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0
773, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 3.0
716, 299.0, 299.0, 1.0, 299.0, 1.0, 299.0, 299.0, 2.0
333, 299.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0
409, 299.0, 299.0, 299.0, 299.0, 1.0, 3.0, 1.0, 3.0
334, 1.0, 1.0, 1.0, 7.0, 1.0, 1.0, 2.0, 1.0
877, 299.0, 299.0, 299.0, 299.0, 299.0, 1.0, 1.0, 1.0
335, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0
432, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 2.0
336, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0
961, 1.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0
926, 299.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0
5291, 2.0, 7.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0
337, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0
338, 299.0, 299.0, 299.0, 299.0, 299.0, 299.0, 299.0, 3.0
390, 299.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0
1724, 7.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
