301,mz,sj,sj,mz,sj,sj,mz,sj, 12009
555,sj,sj,rsv,sj,mz,sj,sj,rsv, 10632
302,sj,sj,mz,sj,sj,sj,mz,sj, 9676
678,SD,sj,mz,sj,mz,mn,sj,sj, 8985
303,sj,sj,sj,sj,sj,sj,sj,sj, 8788
304,sj,sj,sj,mz,sj,sj,mz,sj, 7539
305,sj,sj,sj,sj,sj,sj,mz,sj, 6886
306,sj,sj,sj,mz,sj,sj,sj,sj, 5882
307,sj,sj,sj,mz,sj,sj,sj,mz, 5877
308,sj,sj,sj,sj,sj,sj,sj,mz, 5446
448,sj,sj,sj,sj,sj,mz,rsv,mz, 5155
545,SD,sj,rsv,otv,otv,sj,sj,mz, 4716
535,sj,sj,srg,SD,sj,otv,rsv,rsv, 4388
523,sj,mz,sj,srg,sj,sj,sj,sj, 4146
905,mz,sj,sj,mz,sj,sj,sj,mz, 4119
309,sj,sj,sj,sj,sj,mz,sj,sj, 3904
352,mz,sj,mz,sj,sj,sj,sj,mz, 3697
310,sj,sj,mz,sj,sj,mz,sj,mz, 3646
311,SD,SD,SD,SD,SD,SD,SD,sj, 3602
359,SD,SD,SD,SD,sj,sj,sj,mz, 3586
532,mz,mz,mz,sj,mz,sj,sj,mz, 3557
645,SD,SD,sj,SD,sj,sj,srg,sj, 3543
522,SD,sj,sj,mz,rsv,sj,sj,sj, 3414
1208,mz,sj,sj,sj,mz,sj,sj,mz, 3396
597,mz,sj,mz,sj,mz,mn,sj,mz, 3249
1209,mz,sj,sj,sj,mz,sj,sj,sj, 3248
312,sj,sj,sj,sj,mz,sj,sj,mz, 3198
653,sj,sj,otv,otv,sj,sj,mz,sj, 3144
313,SD,sj,sj,mz,sj,sj,mz,sj, 3097
629,SD,srg,sj,srg,sj,rsv,rsv,srg, 3013
314,sj,mz,sj,sj,sj,sj,sj,mz, 2891
315,SD,sj,sj,sj,sj,sj,sj,mz, 2822
316,sj,sj,sj,srg,sj,sj,sj,mz, 2745
317,sj,mz,sj,sj,mz,sj,mz,sj, 2695
318,sj,sj,mz,sj,mz,sj,sj,mz, 2685
403,mz,mz,sj,sj,sj,mz,sj,sj, 2630
1472,mz,sj,mz,sj,mz,sj,mz,sj, 2424
636,sj,sj,rsv,mz,rsv,mz,rsv,sj, 2418
342,mz,sj,sj,mz,sj,mz,sj,sj, 2313
319,SD,sj,mz,sj,sj,sj,mz,sj, 2305
1109,SD,sj,sj,mz,sj,sj,sj,sj, 2169
320,mz,sj,sj,mz,sj,sj,sj,sj, 2166
321,SD,SD,SD,SD,SD,SD,SD,mz, 2114
322,sj,sj,srg,sj,sj,sj,mz,sj, 2063
323,mz,sj,sj,sj,sj,mz,sj,sj, 1947
324,mz,sj,sj,mz,sj,mz,sj,mz, 1946
325,sj,mz,sj,sj,sj,sj,sj,sj, 1902
848,sj,sj,sj,otv,sj,sj,SD,mz, 1898
747,sj,sj,mz,SD,SD,SD,SD,mn, 1894
326,sj,srg,sj,sj,sj,sj,sj,mz, 1815
743,mz,sj,sj,otv,otv,sj,sj,mz, 1763
327,sj,mz,sj,sj,sj,mz,sj,mz, 1733
811,SD,SD,mz,srg,rsv,rsv,otv,srg, 1728
462,SD,SD,SD,SD,SD,rsv,rsv,rsv, 1696
328,SD,sj,sj,sj,sj,mz,sj,sj, 1690
831,sj,otv,mz,otv,sj,sj,sj,sj, 1687
329,sj,sj,srg,sj,sj,mz,sj,sj, 1606
847,mz,mz,sj,sj,mz,mz,sj,mz, 1598
330,sj,sj,srg,sj,sj,sj,sj,mz, 1564
331,sj,mz,sj,mz,sj,sj,sj,mz, 1506
677,SD,sj,sj,sj,rsv,sj,mz,mz, 1427
332,sj,sj,sj,sj,sj,sj,sj,rsv, 1416
3876,sj,srg,sj,sj,sj,mz,sj,sj, 1402
1691,SD,sj,sj,sj,mz,sj,sj,mz, 1384
773,sj,sj,sj,mz,sj,mz,mz,rsv, 1362
716,SD,SD,sj,SD,sj,SD,SD,mz, 1345
333,SD,sj,mz,sj,sj,sj,sj,mz, 1308
409,SD,SD,SD,SD,sj,rsv,sj,rsv, 1255
334,sj,sj,sj,srg,sj,sj,mz,sj, 1213
877,SD,SD,SD,SD,SD,sj,sj,sj, 1210
335,mz,sj,mz,sj,sj,mz,sj,mz, 1194
432,mz,mz,mz,mz,sj,sj,sj,mz, 1152
336,mz,sj,mz,sj,mz,sj,sj,mz, 1140
961,sj,sj,rsv,mz,sj,sj,sj,sj, 1131
926,SD,mz,sj,sj,mz,sj,sj,sj, 1128
