8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 289866, 1, 2
8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 34301, 1, 11
8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 33875, 1, 6
299.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 21546, 1, 22
8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 20954, 1, 27
8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 8.0, 15374, 1, 19
8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15255, 1, 38
9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 12536, 1, 24
8.0, 8.0, 8.0, 9.0, 8.0, 9.0, 8.0, 6243, 1, 70
8.0, 8.0, 9.0, 8.0, 8.0, 9.0, 8.0, 5493, 1, 66
8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 9.0, 4746, 1, 49
8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 10.0, 3960, 1, 34
9.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 3797, 1, 25
9.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 3418, 1, 62
299.0, 299.0, 299.0, 299.0, 8.0, 8.0, 8.0, 3224, 1, 17
299.0, 299.0, 299.0, 8.0, 8.0, 8.0, 8.0, 2960, 1, 90
299.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 2934, 1, 56
8.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 2675, 1, 117
9.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 2574, 1, 132
299.0, 299.0, 299.0, 299.0, 299.0, 8.0, 8.0, 2388, 1, 118
8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 8.0, 2380, 1, 14
299.0, 299.0, 8.0, 8.0, 8.0, 8.0, 8.0, 2232, 1, 141
8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 2191, 1, 40
8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 9.0, 2175, 1, 36
8.0, 8.0, 9.0, 8.0, 9.0, 8.0, 8.0, 2086, 1, 104
9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 2033, 1, 76
9.0, 8.0, 8.0, 9.0, 8.0, 8.0, 9.0, 2030, 1, 37
8.0, 4.0, 8.0, 8.0, 8.0, 8.0, 8.0, 1941, 1, 8
9.0, 8.0, 8.0, 9.0, 8.0, 9.0, 8.0, 1799, 1, 81
8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 9.0, 1798, 1, 79
299.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 1707, 1, 69
