FROM,TO,VALUE
564,564,599
565,565,818
566,566,743
568,568,613
569,569,726
570,570,757
572,572,600
574,574,672
576,576,660
578,578,758
581,581,621
582,582,784
584,584,899
587,587,705
588,588,785
590,590,727
591,591,622
596,596,628
597,597,819
598,598,786
599,599,744
601,601,759
602,602,900
603,603,901
604,604,902
605,605,820
607,607,642
610,610,903
611,611,787
612,612,661
613,613,821
614,614,822
617,617,679
619,619,904
620,620,684
623,623,905
626,626,788
628,628,906
631,631,710
633,633,907
634,634,823
635,635,789
636,636,908
640,640,909
641,641,824
643,643,760
644,644,910
645,645,911
647,647,912
649,649,790
650,650,913
652,652,825
655,655,791
656,656,914
658,658,915
659,659,761
660,660,662
664,664,916
666,666,694
669,669,917
670,670,745
671,671,711
672,672,685
673,673,792
674,674,712
675,675,918
676,676,919
679,679,728
680,680,920
681,681,921
682,682,713
687,687,729
689,689,793
690,690,922
691,691,923
693,693,924
694,694,826
695,695,730
697,697,714
698,698,925
702,702,926
703,703,715
705,705,927
707,707,827
709,709,928
710,710,929
712,712,828
721,721,794
722,722,930
725,725,931
726,726,932
733,733,829
735,735,933
746,746,934
748,748,935
752,752,936
755,755,762
757,757,937
762,762,830
764,764,938
771,771,831
772,772,832
777,777,939
785,785,940
787,787,941
790,790,795
792,792,833
796,796,942
797,797,943
801,801,944
806,806,945
807,807,946
810,810,834
816,816,947
819,819,948
820,820,949
821,821,835
823,823,950
825,825,951
829,829,952
831,831,836
832,832,953
854,854,954
856,856,955
863,863,956
864,864,957
874,874,958
889,889,959
903,903,960
906,906,961
912,912,962
914,914,963
922,922,964
924,924,965
930,930,966
931,931,967
935,935,968
943,943,969
944,944,970
946,946,971
950,950,972
951,951,973
952,952,974
953,953,975
958,958,976
960,960,977
