FROM,TO,VALUE
4061,4061,550
1011,1011,500
1381,1381,501
1527,1527,502
1281,1281,500
1307,1307,500
3404,3404,550
3968,3968,530
4008,4008,522
867,867,700
912,912,501
1452,1452,522
2548,2548,600
2590,2590,530
1951,1951,501
1621,1621,550
2257,2257,520
3772,3772,500
556,556,600
1637,1637,521
1884,1884,700
3412,3412,550
3068,3068,530
3093,3093,500
3667,3667,501
697,697,551
3259,3259,502
4208,4208,521
4607,4607,522
1023,1023,500
1862,1862,502
2551,2551,530
3418,3418,522
3936,3936,510
457,457,521
875,875,520
1107,1107,521
1684,1684,520
1769,1769,500
2523,2523,501
2552,2552,600
2785,2785,700
3366,3366,500
4562,4562,520
664,664,530
3083,3083,700
3369,3369,600
1422,1422,700
1675,1675,500
2203,2203,500
3063,3063,600
3539,3539,530
519,519,502
608,608,530
832,832,600
842,842,700
1283,1283,600
2739,2739,550
2928,2928,530
1953,1953,500
2233,2233,500
3330,3330,550
1418,1418,500
1756,1756,521
1772,1772,500
1818,1818,501
3490,3490,600
458,458,521
1171,1171,520
1311,1311,500
1398,1398,510
498,498,700
979,979,501
1279,1279,521
2227,2227,522
2978,2978,530
486,486,600
705,705,530
1052,1052,600
1582,1582,600
1740,1740,530
3670,3670,500
459,459,550
2335,2335,520
2466,2466,520
3453,3453,600
5169,5169,501
460,460,700
1375,1375,550
1521,1521,700
1565,1565,550
1908,1908,500
3060,3060,500
4050,4050,500
4549,4549,521
843,843,600
3691,3691,501
2050,2050,521
2577,2577,500
2639,2639,600
563,563,501
1566,1566,550
3003,3003,501
3098,3098,501
3109,3109,600
4454,4454,500
654,654,530
1320,1320,700
2996,2996,600
3376,3376,500
4298,4298,500
462,462,510
1062,1062,501
2914,2914,521
3144,3144,500
544,544,550
2166,2166,550
3664,3664,501
4529,4529,500
500,500,522
1738,1738,520
1859,1859,501
2275,2275,500
2378,2378,521
2638,2638,530
4404,4404,502
463,463,500
464,464,521
507,507,522
1324,1324,521
2447,2447,521
496,496,700
3289,3289,500
3746,3746,520
4074,4074,501
466,466,700
667,667,551
3065,3065,700
3088,3088,502
938,938,500
1471,1471,500
1567,1567,550
4174,4174,521
468,468,551
469,469,510
489,489,700
577,577,700
1060,1060,530
1514,1514,521
1903,1903,600
2663,2663,500
2896,2896,502
4054,4054,522
4841,4841,520
941,941,522
1365,1365,550
1494,1494,501
1978,1978,522
3328,3328,500
470,470,502
471,471,522
871,871,700
929,929,521
1108,1108,500
1680,1680,550
1874,1874,500
1890,1890,510
3991,3991,500
4397,4397,550
472,472,520
955,955,550
1349,1349,521
2139,2139,530
3998,3998,521
4469,4469,530
473,473,500
1219,1219,521
2662,2662,501
3654,3654,501
4100,4100,501
1380,1380,600
1531,1531,550
2031,2031,550
3394,3394,600
474,474,700
2703,2703,550
2913,2913,600
