301,rsi,rsi,rsi,rsi,rsi,rsi,rsi, 289866
302,rsi,rsi,rsi,rsi,rsi,tr,rsi, 34302
303,rsi,rsi,rsi,tr,rsi,rsi,rsi, 33877
304,SD,rsi,rsi,rsi,rsi,rsi,rsi, 21552
305,rsi,rsi,rsi,rsi,tr,rsi,rsi, 20957
306,rsi,rsi,tr,rsi,rsi,rsi,rsi, 15381
307,rsi,rsi,rsi,rsi,rsi,rsi,tr, 15260
308,tr,rsi,rsi,rsi,rsi,rsi,rsi, 12542
309,rsi,rsi,rsi,tr,rsi,tr,rsi, 6252
310,rsi,rsi,tr,rsi,rsi,tr,rsi, 5501
311,rsi,rsi,rsi,tr,rsi,rsi,tr, 4747
312,rsi,rsi,rsi,rsi,rsi,rsi,oti, 3962
313,tr,rsi,rsi,rsi,rsi,tr,rsi, 3798
314,tr,rsi,rsi,tr,rsi,rsi,rsi, 3419
315,SD,SD,SD,SD,rsi,rsi,rsi, 3269
316,SD,SD,SD,rsi,rsi,rsi,rsi, 2963
317,SD,rsi,rsi,rsi,rsi,tr,rsi, 2935
318,rsi,tr,rsi,rsi,rsi,rsi,rsi, 2679
319,tr,rsi,rsi,rsi,tr,rsi,rsi, 2578
320,SD,SD,SD,SD,SD,rsi,rsi, 2390
321,SD,SD,rsi,rsi,rsi,rsi,rsi, 2386
322,rsi,rsi,rsi,rsi,tr,tr,rsi, 2382
323,rsi,rsi,rsi,rsi,rsi,tr,tr, 2191
324,rsi,rsi,tr,rsi,rsi,rsi,tr, 2175
325,rsi,SD,rsi,rsi,rsi,rsi,rsi, 2119
326,rsi,rsi,tr,rsi,tr,rsi,rsi, 2092
327,tr,rsi,rsi,rsi,rsi,rsi,tr, 2033
328,tr,rsi,rsi,tr,rsi,rsi,tr, 2034
329,tr,rsi,rsi,tr,rsi,tr,rsi, 1800
330,rsi,rsi,rsi,rsi,tr,rsi,tr, 1798
331,SD,rsi,rsi,tr,rsi,rsi,rsi, 1714
332,rsi,rsi,tr,tr,rsi,rsi,rsi, 1710
333,SD,rsi,rsi,rsi,tr,rsi,rsi, 1655
343,SD,SD,SD,SD,SD,tr,rsi, 1509
334,SD,rsi,rsi,rsi,rsi,rsi,tr, 1418
335,rsi,rsi,rsi,rsi,oti,rsi,rsi, 1326
336,rsi,rsi,oti,rsi,rsi,rsi,rsi, 1243
337,rsi,rsi,rsi,rsi,rsi,oti,rsi, 1207
338,rsi,rsi,tr,tr,rsi,tr,rsi, 1043
339,tr,rsi,tr,rsi,rsi,rsi,rsi, 1028
340,rsi,rsi,rsi,rsi,rsi,tr,oti, 1013
341,rsi,rsi,rsi,oti,rsi,rsi,rsi, 967
